Time $t$ [s]	$T_{ref}$	$T_{all}$
2.7014	1.466531207	1.588427699
2.7015	1.466531207	1.588427699
2.7016	1.466531207	1.601850873
2.7017	1.466531207	1.601850873
2.7018	1.466531207	1.601850873
2.7019	1.466531207	1.601850873
2.702	1.466531207	1.601850873
2.7021	1.466531207	1.615366079
2.7022	1.466531207	1.615366079
2.7023	1.466531207	1.615366079
2.7024	1.466531207	1.615366079
2.7025	1.466531207	1.615366079
2.7026	1.466531207	1.625582705
2.7027	1.466531207	1.625582705
2.7028	1.466531207	1.625582705
2.7029	1.466531207	1.625582705
2.703	1.466531207	1.625582705
2.7031	1.466531207	1.627927663
2.7032	1.466531207	1.627927663
2.7033	1.466531207	1.627927663
2.7034	1.466531207	1.627927663
2.7035	1.466531207	1.627927663
2.7036	1.466531207	1.624562303
2.7037	1.466531207	1.624562303
2.7038	1.466531207	1.624562303
2.7039	1.466531207	1.624562303
2.704	1.466531207	1.624562303
2.7041	1.466531207	1.620015198
2.7042	1.466531207	1.620015198
2.7043	1.466531207	1.620015198
2.7044	1.466531207	1.620015198
2.7045	1.466531207	1.620015198
2.7046	1.466531207	1.62047495
2.7047	1.466531207	1.62047495
2.7048	1.466531207	1.62047495
2.7049	1.466531207	1.62047495
2.705	1.466531207	1.62047495
2.7051	1.466531207	1.624699719
2.7052	1.466531207	1.624699719
2.7053	1.466531207	1.624699719
2.7054	1.466531207	1.624699719
2.7055	1.466531207	1.624699719
2.7056	1.466531207	1.630536996
2.7057	1.466531207	1.630536996
2.7058	1.466531207	1.630536996
2.7059	1.466531207	1.630536996
2.706	1.466531207	1.630536996
2.7061	1.466531207	1.633236692
2.7062	1.466531207	1.633236692
2.7063	1.466531207	1.633236692
2.7064	1.466531207	1.633236692
2.7065	1.466531207	1.633236692
2.7066	1.466531207	1.627807311
2.7067	1.466531207	1.627807311
2.7068	1.466531207	1.627807311
2.7069	1.466531207	1.627807311
2.707	1.466531207	1.627807311
2.7071	1.466531207	1.594840887
2.7072	1.466531207	1.594840887
2.7073	1.466531207	1.594840887
2.7074	1.466531207	1.594840887
2.7075	1.466531207	1.594840887
2.7076	1.466531207	1.562101338
2.7077	1.466531207	1.562101338
2.7078	1.466531207	1.562101338
2.7079	1.466531207	1.562101338
2.708	1.466531207	1.562101338
2.7081	1.466531207	1.53159176
2.7082	1.466531207	1.53159176
2.7083	1.466531207	1.53159176
2.7084	1.466531207	1.53159176
2.7085	1.466531207	1.53159176
2.7086	1.466531207	1.50415855
2.7087	1.466531207	1.50415855
2.7088	1.466531207	1.50415855
2.7089	1.466531207	1.50415855
2.709	1.466531207	1.50415855
2.7091	1.466531207	1.478014838
2.7092	1.466531207	1.478014838
2.7093	1.466531207	1.478014838
2.7094	1.466531207	1.478014838
2.7095	1.466531207	1.478014838
2.7096	1.466531207	1.44917675
2.7097	1.466531207	1.44917675
2.7098	1.466531207	1.44917675
2.7099	1.466531207	1.44917675
2.71	1.466531207	1.44917675
2.7101	1.466531207	1.416302784
2.7102	1.466531207	1.416302784
2.7103	1.466531207	1.416302784
2.7104	1.466531207	1.416302784
2.7105	1.466531207	1.416302784
2.7106	1.466531207	1.382797575
2.7107	1.466531207	1.382797575
2.7108	1.466531207	1.382797575
2.7109	1.466531207	1.382797575
2.711	1.466531207	1.382797575
2.7111	1.466531207	1.382731931
2.7112	1.466531207	1.382731931
2.7113	1.466531207	1.382731931
2.7114	1.466531207	1.382731931
2.7115	1.466531207	1.382731931
2.7116	1.466531207	1.382666575
2.7117	1.466531207	1.382666575
2.7118	1.466531207	1.382666575
2.7119	1.466531207	1.382666575
2.712	1.466531207	1.382666575
2.7121	1.466531207	1.382601222
2.7122	1.466531207	1.382601222
2.7123	1.466531207	1.382601222
2.7124	1.466531207	1.382601222
2.7125	1.466531207	1.382601222
2.7126	1.466531207	1.382535873
2.7127	1.466531207	1.382535873
2.7128	1.466531207	1.382535873
2.7129	1.466531207	1.382535873
2.713	1.466531207	1.382535873
2.7131	1.466531207	1.382470518
2.7132	1.466531207	1.382470518
2.7133	1.466531207	1.382470518
2.7134	1.466531207	1.382470518
2.7135	1.466531207	1.382470518
2.7136	1.466531207	1.385887799
2.7137	1.466531207	1.385887799
2.7138	1.466531207	1.385887799
2.7139	1.466531207	1.385887799
2.714	1.466531207	1.385887799
2.7141	1.466531207	1.394448939
2.7142	1.466531207	1.394448939
2.7143	1.466531207	1.394448939
2.7144	1.466531207	1.394448939
2.7145	1.466531207	1.394448939
2.7146	1.466531207	1.407907975
2.7147	1.466531207	1.407907975
2.7148	1.466531207	1.407907975
2.7149	1.466531207	1.407907975
2.715	1.466531207	1.407907975
2.7151	1.466531207	1.425235471
2.7152	1.466531207	1.425235471
2.7153	1.466531207	1.425235471
2.7154	1.466531207	1.425235471
2.7155	1.466531207	1.425235471
2.7156	1.466531207	1.444810979
2.7157	1.466531207	1.444810979
2.7158	1.466531207	1.444810979
2.7159	1.466531207	1.444810979
2.716	1.466531207	1.444810979
2.7161	1.466531207	1.464709913
2.7162	1.466531207	1.464709913
2.7163	1.466531207	1.464709913
2.7164	1.466531207	1.464709913
2.7165	1.466531207	1.464709913
2.7166	1.466531207	1.48357301
2.7167	1.466531207	1.48357301
2.7168	1.466531207	1.48357301
2.7169	1.466531207	1.48357301
2.717	1.466531207	1.48357301
2.7171	1.466531207	1.50239004
2.7172	1.466531207	1.50239004
2.7173	1.466531207	1.50239004
2.7174	1.466531207	1.50239004
2.7175	1.466531207	1.50239004
2.7176	1.466531207	1.524244682
2.7177	1.466531207	1.524244682
2.7178	1.466531207	1.524244682
2.7179	1.466531207	1.524244682
2.718	1.466531207	1.524244682
2.7181	1.466531207	1.549596568
2.7182	1.466531207	1.549596568
2.7183	1.466531207	1.549596568
2.7184	1.466531207	1.549596568
2.7185	1.466531207	1.549596568
2.7186	1.466531207	1.576632398
2.7187	1.466531207	1.576632398
2.7188	1.466531207	1.576632398
2.7189	1.466531207	1.576632398
2.719	1.466531207	1.576632398
2.7191	1.466531207	1.602529497
2.7192	1.466531207	1.602529497
2.7193	1.466531207	1.602529497
2.7194	1.466531207	1.602529497
2.7195	1.466531207	1.602529497
2.7196	1.466531207	1.620352931
2.7197	1.466531207	1.620352931
2.7198	1.466531207	1.620352931
2.7199	1.466531207	1.620352931
2.72	1.466531207	1.620352931
2.7201	1.466531207	1.630387419
2.7202	1.466531207	1.630387419
2.7203	1.466531207	1.630387419
2.7204	1.466531207	1.630387419
2.7205	1.466531207	1.630387419
2.7206	1.466531207	1.636057676
2.7207	1.466531207	1.636057676
2.7208	1.466531207	1.636057676
2.7209	1.466531207	1.636057676
2.721	1.466531207	1.636057676
2.7211	1.466531207	1.643188122
2.7212	1.466531207	1.643188122
2.7213	1.466531207	1.643188122
2.7214	1.466531207	1.643188122
2.7215	1.466531207	1.643188122
2.7216	1.466531207	1.653511241
2.7217	1.466531207	1.653511241
2.7218	1.466531207	1.653511241
2.7219	1.466531207	1.653511241
2.722	1.466531207	1.653511241
2.7221	1.466531207	1.66385874
2.7222	1.466531207	1.66385874
2.7223	1.466531207	1.66385874
2.7224	1.466531207	1.66385874
2.7225	1.466531207	1.66385874
2.7226	1.466531207	1.669430686
2.7227	1.466531207	1.669430686
2.7228	1.466531207	1.669430686
2.7229	1.466531207	1.669430686
2.723	1.466531207	1.669430686
2.7231	1.466531207	1.668893368
2.7232	1.466531207	1.668893368
2.7233	1.466531207	1.668893368
2.7234	1.466531207	1.668893368
2.7235	1.466531207	1.668893368
2.7236	1.466531207	1.663782384
2.7237	1.466531207	1.663782384
2.7238	1.466531207	1.663782384
2.7239	1.466531207	1.663782384
2.724	1.466531207	1.663782384
2.7241	1.466531207	1.658120382
2.7242	1.466531207	1.658120382
2.7243	1.466531207	1.658120382
2.7244	1.466531207	1.658120382
2.7245	1.466531207	1.658120382
2.7246	1.466531207	1.657954889
2.7247	1.466531207	1.657954889
2.7248	1.466531207	1.657954889
2.7249	1.466531207	1.657954889
2.725	1.466531207	1.657954889
2.7251	1.466531207	1.662208301
2.7252	1.466531207	1.662208301
2.7253	1.466531207	1.662208301
2.7254	1.466531207	1.662208301
2.7255	1.466531207	1.662208301
2.7256	1.466531207	1.667172713
2.7257	1.466531207	1.667172713
2.7258	1.466531207	1.667172713
2.7259	1.466531207	1.667172713
2.726	1.466531207	1.667172713
2.7261	1.466531207	1.667117113
2.7262	1.466531207	1.667117113
2.7263	1.466531207	1.667117113
2.7264	1.466531207	1.667117113
2.7265	1.466531207	1.667117113
2.7266	1.466531207	1.636594813
2.7267	1.466531207	1.636594813
2.7268	1.466531207	1.636594813
2.7269	1.466531207	1.636594813
2.727	1.466531207	1.636594813
2.7271	1.466531207	1.605475287
2.7272	1.466531207	1.605475287
2.7273	1.466531207	1.605475287
2.7274	1.466531207	1.605475287
2.7275	1.466531207	1.605475287
2.7276	1.466531207	1.575584719
2.7277	1.466531207	1.575584719
2.7278	1.466531207	1.575584719
2.7279	1.466531207	1.575584719
2.728	1.466531207	1.575584719
2.7281	1.466531207	1.548563894
2.7282	1.466531207	1.548563894
2.7283	1.466531207	1.548563894
2.7284	1.466531207	1.548563894
2.7285	1.466531207	1.548563894
2.7286	1.466531207	1.523896959
2.7287	1.466531207	1.523896959
2.7288	1.466531207	1.523896959
2.7289	1.466531207	1.523896959
2.729	1.466531207	1.523896959
2.7291	1.466531207	1.498765617
2.7292	1.466531207	1.498765617
2.7293	1.466531207	1.498765617
2.7294	1.466531207	1.498765617
2.7295	1.466531207	1.498765617
2.7296	1.466531207	1.469057246
2.7297	1.466531207	1.469057246
2.7298	1.466531207	1.469057246
2.7299	1.466531207	1.469057246
2.73	1.466531207	1.469057246
2.7301	1.466531207	1.437847928
2.7302	1.466531207	1.437847928
2.7303	1.466531207	1.437847928
2.7304	1.466531207	1.437847928
2.7305	1.466531207	1.437847928
2.7306	1.466531207	1.406797207
2.7307	1.466531207	1.406797207
2.7308	1.466531207	1.406797207
2.7309	1.466531207	1.406797207
2.731	1.466531207	1.406797207
2.7311	1.466531207	1.377741124
2.7312	1.466531207	1.377741124
2.7313	1.466531207	1.377741124
2.7314	1.466531207	1.377741124
2.7315	1.466531207	1.377741124
2.7316	1.466531207	1.351789548
2.7317	1.466531207	1.351789548
2.7318	1.466531207	1.351789548
2.7319	1.466531207	1.351789548
2.732	1.466531207	1.351789548
2.7321	1.466531207	1.351724753
2.7322	1.466531207	1.351724753
2.7323	1.466531207	1.351724753
2.7324	1.466531207	1.351724753
2.7325	1.466531207	1.351724753
2.7326	1.466531207	1.351660245
2.7327	1.466531207	1.351660245
2.7328	1.466531207	1.351660245
2.7329	1.466531207	1.351660245
